Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,symmetric,0.01,0.4079428602347873
100% Corpus,4,symmetric,0.31,0.399371482843181
100% Corpus,4,symmetric,0.61,0.4263688471389828
100% Corpus,4,symmetric,0.9099999999999999,0.4253200920302858
100% Corpus,4,symmetric,symmetric,0.399371482843181
100% Corpus,4,asymmetric,0.01,0.3617113082943272
100% Corpus,4,asymmetric,0.31,0.36306421784037496
100% Corpus,4,asymmetric,0.61,0.390140951548107
100% Corpus,4,asymmetric,0.9099999999999999,0.38873887741346574
100% Corpus,4,asymmetric,symmetric,0.36306421784037496
100% Corpus,5,0.01,0.01,0.4184693905424626
100% Corpus,5,0.01,0.31,0.4399335904230271
100% Corpus,5,0.01,0.61,0.4866331950775159
100% Corpus,5,0.01,0.9099999999999999,0.3709736349134082
100% Corpus,5,0.01,symmetric,0.4033312405639407
100% Corpus,5,0.31,0.01,0.4247290780301671
100% Corpus,5,0.31,0.31,0.4438243075541665
100% Corpus,5,0.31,0.61,0.4915832075057064
100% Corpus,5,0.31,0.9099999999999999,0.3838887660048795
100% Corpus,5,0.31,symmetric,0.4069117056672599
100% Corpus,5,0.61,0.01,0.42638181065036324
100% Corpus,5,0.61,0.31,0.44477928861307825
100% Corpus,5,0.61,0.61,0.4109122175830522
100% Corpus,5,0.61,0.9099999999999999,0.39491660911933063
100% Corpus,5,0.61,symmetric,0.42127119378628936
100% Corpus,5,0.9099999999999999,0.01,0.4263818106503633
100% Corpus,5,0.9099999999999999,0.31,0.4472571961066354
100% Corpus,5,0.9099999999999999,0.61,0.37592849199820033
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.38712381916162225
100% Corpus,5,0.9099999999999999,symmetric,0.41781223889644903
100% Corpus,5,symmetric,0.01,0.4184693905424626
100% Corpus,5,symmetric,0.31,0.4458895896261333
100% Corpus,5,symmetric,0.61,0.5067816326372684
100% Corpus,5,symmetric,0.9099999999999999,0.3733118254590221
100% Corpus,5,symmetric,symmetric,0.4033312405639407
100% Corpus,5,asymmetric,0.01,0.42623525127274836
100% Corpus,5,asymmetric,0.31,0.43682204893923304
100% Corpus,5,asymmetric,0.61,0.4750119506797823
100% Corpus,5,asymmetric,0.9099999999999999,0.504570422945024
100% Corpus,5,asymmetric,symmetric,0.40092525787415756
100% Corpus,6,0.01,0.01,0.400622756638215
100% Corpus,6,0.01,0.31,0.3901529729989584
100% Corpus,6,0.01,0.61,0.3595861928856463
100% Corpus,6,0.01,0.9099999999999999,0.38644507553057666
100% Corpus,6,0.01,symmetric,0.38399954915260753
100% Corpus,6,0.31,0.01,0.402861929530848
100% Corpus,6,0.31,0.31,0.3871202406646416
100% Corpus,6,0.31,0.61,0.3606864458568988
100% Corpus,6,0.31,0.9099999999999999,0.3683538288630419
100% Corpus,6,0.31,symmetric,0.38006994735831195
100% Corpus,6,0.61,0.01,0.4036932499779062
100% Corpus,6,0.61,0.31,0.38571130094704853
100% Corpus,6,0.61,0.61,0.3634007053252139
100% Corpus,6,0.61,0.9099999999999999,0.35982907024915217
100% Corpus,6,0.61,symmetric,0.3885485463397429
100% Corpus,6,0.9099999999999999,0.01,0.4046892768752583
100% Corpus,6,0.9099999999999999,0.31,0.3840814502377265
100% Corpus,6,0.9099999999999999,0.61,0.37544957742973667
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3672822295048242
100% Corpus,6,0.9099999999999999,symmetric,0.39188835127155675
100% Corpus,6,symmetric,0.01,0.4001161141963212
100% Corpus,6,symmetric,0.31,0.38857546233082035
100% Corpus,6,symmetric,0.61,0.3557318502478606
100% Corpus,6,symmetric,0.9099999999999999,0.3808229817638127
100% Corpus,6,symmetric,symmetric,0.38399954915260753
100% Corpus,6,asymmetric,0.01,0.4355746089097463
100% Corpus,6,asymmetric,0.31,0.39896111430305964
100% Corpus,6,asymmetric,0.61,0.35413644692224366
100% Corpus,6,asymmetric,0.9099999999999999,0.35224131738417275
100% Corpus,6,asymmetric,symmetric,0.4618435853991855
100% Corpus,7,0.01,0.01,0.3970228870538043
100% Corpus,7,0.01,0.31,0.35741719165567126
100% Corpus,7,0.01,0.61,0.36487579653081853
100% Corpus,7,0.01,0.9099999999999999,0.4154699313342149
100% Corpus,7,0.01,symmetric,0.37323697150771595
100% Corpus,7,0.31,0.01,0.3843476451330681
100% Corpus,7,0.31,0.31,0.3627311436129896
100% Corpus,7,0.31,0.61,0.3691899934301914
100% Corpus,7,0.31,0.9099999999999999,0.383517610217793
100% Corpus,7,0.31,symmetric,0.3909639394678176
100% Corpus,7,0.61,0.01,0.39202730882697673
100% Corpus,7,0.61,0.31,0.37307256825806606
100% Corpus,7,0.61,0.61,0.34723016975265314
100% Corpus,7,0.61,0.9099999999999999,0.4034634024425621
100% Corpus,7,0.61,symmetric,0.39551384032166564
100% Corpus,7,0.9099999999999999,0.01,0.40143871935418274
100% Corpus,7,0.9099999999999999,0.31,0.36939119380912727
100% Corpus,7,0.9099999999999999,0.61,0.42149068525307565
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.42771655342992876
100% Corpus,7,0.9099999999999999,symmetric,0.39406469823884793
100% Corpus,7,symmetric,0.01,0.384088907263126
100% Corpus,7,symmetric,0.31,0.3601327092429723
100% Corpus,7,symmetric,0.61,0.37021823700007067
100% Corpus,7,symmetric,0.9099999999999999,0.41366840348470285
100% Corpus,7,symmetric,symmetric,0.36953949441664824
100% Corpus,7,asymmetric,0.01,0.4358042715660741
100% Corpus,7,asymmetric,0.31,0.3829878157786412
100% Corpus,7,asymmetric,0.61,0.36339009516878307
100% Corpus,7,asymmetric,0.9099999999999999,0.3439565049657788
100% Corpus,7,asymmetric,symmetric,0.3965359673236687
100% Corpus,8,0.01,0.01,0.39617417586368675
100% Corpus,8,0.01,0.31,0.3860055654030432
100% Corpus,8,0.01,0.61,0.389075480977057
100% Corpus,8,0.01,0.9099999999999999,0.4017305312081404
100% Corpus,8,0.01,symmetric,0.41315771651386723
100% Corpus,8,0.31,0.01,0.4038588756325383
100% Corpus,8,0.31,0.31,0.364452075812157
100% Corpus,8,0.31,0.61,0.3631158331669091
100% Corpus,8,0.31,0.9099999999999999,0.36976143487112134
100% Corpus,8,0.31,symmetric,0.3782471510924485
100% Corpus,8,0.61,0.01,0.37900611487410296
100% Corpus,8,0.61,0.31,0.3748453383183281
100% Corpus,8,0.61,0.61,0.3591429025098631
